user_id,product_id,category_encoded,brand_encoded,action_encoded,price_normalized,timestamp_normalized,interaction_score,user_activity_count,user_avg_score,item_activity_count,item_avg_score,user_category_count,user_item_similarity_score
USER_402,rm_141,5,2,0,0.3342087011561589,0.0,3.0,27,3.0,45,2.2,7,0.47394592073872027
USER_402,rm_141,3,5,0,0.31944865294359265,0.0,3.0,27,3.0,45,2.2,7,0.47394592073872027
USER_402,rm_141,3,0,0,0.9728501302951337,0.0,3.0,27,3.0,45,2.2,7,0.47394592073872027
USER_402,rm_141,1,5,0,0.2582604421280865,0.0,3.0,27,3.0,45,2.2,3,0.47394592073872027
USER_402,rm_141,2,4,0,0.10062016443447873,0.0,3.0,27,3.0,45,2.2,6,0.47394592073872027
USER_402,rm_141,5,7,0,0.37271141816320896,0.0,3.0,27,3.0,45,2.2,7,0.47394592073872027
USER_402,rm_141,4,7,0,0.07089132645159553,0.0,3.0,27,3.0,45,2.2,3,0.47394592073872027
USER_402,rm_141,1,6,0,0.8342659367445744,0.0,3.0,27,3.0,45,2.2,3,0.47394592073872027
USER_402,rm_141,2,2,0,0.30966473412385787,0.0,3.0,27,3.0,45,2.2,6,0.47394592073872027
USER_071,rm_003,1,5,0,0.16386212283430632,2.768396370811388e-06,3.0,18,2.0,45,1.8,4,0.5750939261482639
USER_071,rm_003,3,6,0,0.4807587418944307,2.768396370811388e-06,3.0,18,2.0,45,1.8,2,0.5750939261482639
USER_071,rm_003,5,2,0,0.40190156825512263,2.768396370811388e-06,3.0,18,2.0,45,1.8,3,0.5750939261482639
USER_071,rm_003,0,2,0,0.7263263505915466,2.768396370811388e-06,3.0,18,2.0,45,1.8,6,0.5750939261482639
USER_071,rm_003,0,4,0,0.36374899837720276,2.768396370811388e-06,3.0,18,2.0,45,1.8,6,0.5750939261482639
USER_071,rm_003,4,4,0,0.3473998208862763,2.768396370811388e-06,3.0,18,2.0,45,1.8,1,0.5750939261482639
USER_071,rm_003,1,6,0,0.3598435111676733,2.768396370811388e-06,3.0,18,2.0,45,1.8,4,0.5750939261482639
USER_071,rm_003,3,0,0,0.9881488663986695,2.768396370811388e-06,3.0,18,2.0,45,1.8,2,0.5750939261482639
USER_071,rm_003,0,2,0,0.7518264886303188,2.768396370811388e-06,3.0,18,2.0,45,1.8,6,0.5750939261482639
USER_244,rm_180,3,0,0,0.9786814267148792,5.536791832128074e-06,3.0,45,3.4,36,4.0,10,0.37351194898158224
USER_244,rm_180,1,6,0,0.7370731740163896,5.536791832128074e-06,3.0,45,3.4,36,4.0,3,0.37351194898158224
USER_244,rm_180,3,2,0,0.9153990667232289,5.536791832128074e-06,3.0,45,3.4,36,4.0,10,0.37351194898158224
USER_244,rm_180,0,0,0,0.5488084897211618,5.536791832128074e-06,3.0,45,3.4,36,4.0,5,0.37351194898158224
USER_244,rm_180,4,3,0,0.9127864304520266,5.536791832128074e-06,3.0,45,3.4,36,4.0,5,0.37351194898158224
USER_244,rm_180,2,2,0,0.29927479142678226,5.536791832128074e-06,3.0,45,3.4,36,4.0,11,0.37351194898158224
USER_244,rm_180,2,0,0,0.7736366146159492,5.536791832128074e-06,3.0,45,3.4,36,4.0,11,0.37351194898158224
USER_244,rm_180,4,4,0,0.4052751011723195,5.536791832128074e-06,3.0,45,3.4,36,4.0,5,0.37351194898158224
USER_244,rm_180,5,7,0,0.19987340834562214,5.536791832128074e-06,3.0,45,3.4,36,4.0,11,0.37351194898158224
USER_449,rm_059,2,1,0,0.10573096580005253,8.305188202939462e-06,3.0,18,2.0,108,2.8333333333333335,6,0.5212089620672774
USER_449,rm_059,5,7,0,0.979455790558148,8.305188202939462e-06,3.0,18,2.0,108,2.8333333333333335,2,0.5212089620672774
USER_449,rm_059,2,2,0,0.9845733255223589,8.305188202939462e-06,3.0,18,2.0,108,2.8333333333333335,6,0.5212089620672774
USER_449,rm_059,1,3,0,0.8114255701674646,8.305188202939462e-06,3.0,18,2.0,108,2.8333333333333335,6,0.5212089620672774
USER_449,rm_059,4,4,0,0.23964204189645072,8.305188202939462e-06,3.0,18,2.0,108,2.8333333333333335,3,0.5212089620672774
USER_449,rm_059,5,4,0,0.5231669461110101,8.305188202939462e-06,3.0,18,2.0,108,2.8333333333333335,2,0.5212089620672774
USER_449,rm_059,1,0,0,0.4417981401800565,8.305188202939462e-06,3.0,18,2.0,108,2.8333333333333335,6,0.5212089620672774
USER_449,rm_059,3,2,0,0.6253964406197604,8.305188202939462e-06,3.0,18,2.0,108,2.8333333333333335,1,0.5212089620672774
USER_449,rm_059,1,2,0,0.8403463763138935,8.305188202939462e-06,3.0,18,2.0,108,2.8333333333333335,6,0.5212089620672774
USER_451,rm_122,0,3,2,0.33483492582941105,1.1073583664256148e-05,5.0,36,3.0,54,2.3333333333333335,4,0.4542865009077937
USER_451,rm_122,0,0,2,0.9277888882155291,1.1073583664256148e-05,5.0,36,3.0,54,2.3333333333333335,4,0.4542865009077937
USER_451,rm_122,4,7,2,0.7810637739126921,1.1073583664256148e-05,5.0,36,3.0,54,2.3333333333333335,9,0.4542865009077937
USER_451,rm_122,2,7,2,0.9192035499532015,1.1073583664256148e-05,5.0,36,3.0,54,2.3333333333333335,4,0.4542865009077937
USER_451,rm_122,4,7,2,0.3384037331070845,1.1073583664256148e-05,5.0,36,3.0,54,2.3333333333333335,9,0.4542865009077937
USER_451,rm_122,4,7,2,0.46922408742904476,1.1073583664256148e-05,5.0,36,3.0,54,2.3333333333333335,9,0.4542865009077937
USER_451,rm_122,5,3,2,0.9529927479142679,1.1073583664256148e-05,5.0,36,3.0,54,2.3333333333333335,8,0.4542865009077937
USER_451,rm_122,4,3,2,0.8685668882020618,1.1073583664256148e-05,5.0,36,3.0,54,2.3333333333333335,9,0.4542865009077937
USER_451,rm_122,5,5,2,0.6392945882067754,1.1073583664256148e-05,5.0,36,3.0,54,2.3333333333333335,8,0.4542865009077937
USER_160,rm_029,0,2,2,0.10952871543138801,1.3841980035067536e-05,5.0,18,3.0,36,4.0,3,0.5370218048599432
USER_160,rm_029,2,4,2,0.7564390036967457,1.3841980035067536e-05,5.0,18,3.0,36,4.0,5,0.5370218048599432
USER_160,rm_029,5,4,2,0.7371270428054865,1.3841980035067536e-05,5.0,18,3.0,36,4.0,2,0.5370218048599432
USER_160,rm_029,0,3,2,0.9205502696806255,1.3841980035067536e-05,5.0,18,3.0,36,4.0,3,0.5370218048599432
USER_160,rm_029,1,7,2,0.11106397592065127,1.3841980035067536e-05,5.0,18,3.0,36,4.0,5,0.5370218048599432
USER_160,rm_029,4,4,2,0.05609087664720656,1.3841980035067536e-05,5.0,18,3.0,36,4.0,2,0.5370218048599432
USER_160,rm_029,2,0,2,0.5140159855631645,1.3841980035067536e-05,5.0,18,3.0,36,4.0,5,0.5370218048599432
USER_160,rm_029,3,7,2,0.5481755314492724,1.3841980035067536e-05,5.0,18,3.0,36,4.0,1,0.5370218048599432
USER_160,rm_029,2,4,2,0.636062460860958,1.3841980035067536e-05,5.0,18,3.0,36,4.0,5,0.5370218048599432
USER_285,rm_044,2,5,2,0.9162205657569575,1.6610376405878924e-05,5.0,18,4.0,81,2.3333333333333335,4,0.7296576060873127
USER_285,rm_044,0,2,2,0.7976149593627323,1.6610376405878924e-05,5.0,18,4.0,81,2.3333333333333335,4,0.7296576060873127
USER_285,rm_044,4,2,2,0.12648391679965523,1.6610376405878924e-05,5.0,18,4.0,81,2.3333333333333335,2,0.7296576060873127
USER_285,rm_044,0,5,2,0.06009063423765563,1.6610376405878924e-05,5.0,18,4.0,81,2.3333333333333335,4,0.7296576060873127
USER_285,rm_044,4,7,2,0.6443043855927924,1.6610376405878924e-05,5.0,18,4.0,81,2.3333333333333335,2,0.7296576060873127
USER_285,rm_044,0,2,2,0.21270764734797218,1.6610376405878924e-05,5.0,18,4.0,81,2.3333333333333335,4,0.7296576060873127
